Time,Ecg1
19:36:33.906,-253.0
19:36:33.946,-207.0
19:36:33.986,-164.0
19:36:34.026,-171.0
19:36:34.066,-137.0
19:36:34.106,15.0
19:36:34.146,75.0
19:36:34.186,153.0
19:36:34.226,174.0
19:36:34.266,229.0
19:36:34.306,283.0
19:36:34.346,178.0
19:36:34.386,-162.0
19:36:34.426,2840.0
19:36:34.466,1624.0
19:36:34.506,611.0
19:36:34.546,148.0
19:36:34.586,133.0
19:36:34.626,329.0
19:36:34.666,189.0
19:36:34.706,-95.0
19:36:34.746,-240.0
19:36:34.786,-319.0
19:36:34.826,-355.0
19:36:34.866,-345.0
19:36:34.906,-278.0
19:36:34.946,-323.0
19:36:34.986,-321.0
19:36:35.026,-341.0
19:36:35.066,-291.0
19:36:35.106,-201.0
19:36:35.146,51.0
19:36:35.186,-126.0
19:36:35.226,-202.0
19:36:35.266,159.0
19:36:35.306,730.0
19:36:35.346,161.0
19:36:35.386,-67.0
19:36:35.426,81.0
19:36:35.466,365.0
19:36:35.506,608.0
19:36:35.546,349.0
19:36:35.586,86.0
19:36:35.626,-21.0
19:36:35.666,-48.0
19:36:35.706,-42.0
19:36:35.746,-15.0
19:36:35.786,-59.0
19:36:35.826,-86.0
19:36:35.866,-159.0
19:36:35.906,-199.0
19:36:35.946,-74.0
19:36:35.986,-217.0
19:36:36.026,-336.0
19:36:36.066,-712.0
19:36:36.106,470.0
19:36:36.146,99.0
19:36:36.186,-186.0
19:36:36.226,-279.0
19:36:36.266,-76.0
19:36:36.306,154.0
19:36:36.346,45.0
19:36:36.386,-140.0
19:36:36.426,-303.0
19:36:36.466,-411.0
19:36:36.506,-483.0
19:36:36.546,-463.0
19:36:36.586,-475.0
19:36:36.626,-418.0
19:36:35.072,-316.0
19:36:35.112,-231.0
19:36:35.152,8.0
19:36:35.192,120.0
19:36:35.232,192.0
19:36:35.272,-70.0
19:36:35.312,1341.0
19:36:35.352,889.0
19:36:35.392,612.0
19:36:35.432,560.0
19:36:35.472,752.0
19:36:35.512,868.0
19:36:35.552,622.0
19:36:35.592,363.0
19:36:35.632,146.0
19:36:35.672,61.0
19:36:35.712,43.0
19:36:35.752,41.0
19:36:35.792,12.0
19:36:35.832,-27.0
19:36:35.872,-29.0
19:36:35.912,89.0
19:36:35.952,304.0
19:36:35.992,238.0
19:36:36.032,240.0
19:36:36.072,2249.0
19:36:36.112,2017.0
19:36:36.152,885.0
19:36:36.192,317.0
19:36:36.232,142.0
19:36:36.272,234.0
19:36:36.312,135.0
19:36:36.352,-250.0
19:36:36.392,-503.0
19:36:36.432,-577.0
19:36:36.472,-576.0
19:36:36.512,-561.0
19:36:36.552,-500.0
19:36:36.592,-483.0
19:36:36.632,-519.0
19:36:36.672,-493.0
19:36:36.712,-221.0
19:36:36.752,-416.0
19:36:36.792,-557.0
19:36:36.832,-507.0
19:36:36.872,343.0
19:36:36.912,-158.0
19:36:36.952,-340.0
19:36:36.992,-272.0
19:36:37.032,5.0
19:36:37.072,116.0
19:36:37.112,-166.0
19:36:37.152,-391.0
19:36:37.192,-527.0
19:36:37.232,-560.0
19:36:37.272,-531.0
19:36:37.312,-476.0
19:36:37.352,-487.0
19:36:37.392,-475.0
19:36:37.432,-376.0
19:36:37.472,-238.0
19:36:37.512,-438.0
19:36:37.552,-683.0
19:36:37.592,767.0
19:36:37.632,672.0
19:36:37.672,-295.0
19:36:37.712,-684.0
19:36:37.752,-655.0
19:36:37.792,-374.0
19:36:37.832,-207.0
19:36:37.872,-309.0
19:36:37.912,-300.0
19:36:37.952,-211.0
19:36:37.992,-126.0
19:36:38.032,-28.0
19:36:38.072,43.0
19:36:38.112,100.0
19:36:38.152,116.0
19:36:38.192,114.0
19:36:38.232,157.0
19:36:38.272,202.0
19:36:38.312,157.0
19:36:38.352,68.0
19:36:38.392,3581.0
19:36:38.432,2296.0
19:36:38.472,1150.0
19:36:38.512,624.0
19:36:38.552,509.0
19:36:38.592,555.0
19:36:38.632,277.0
19:36:38.672,-188.0
19:36:38.712,-470.0
19:36:38.752,-609.0
19:36:38.792,-657.0
19:36:38.832,-496.0
19:36:38.872,-330.0
19:36:38.912,-374.0
19:36:38.952,-421.0
19:36:38.992,-415.0
19:36:39.032,-459.0
19:36:45.274,-561.0
19:36:45.314,2436.0
19:36:45.354,1170.0
19:36:45.394,-44.0
19:36:45.434,-622.0
19:36:45.474,-726.0
19:36:45.514,-615.0
19:36:45.554,-597.0
19:36:45.594,-764.0
19:36:45.634,-860.0
19:36:45.674,-833.0
19:36:45.714,-818.0
19:36:45.754,-755.0
19:36:45.794,-666.0
19:36:45.834,-617.0
19:36:45.874,-618.0
19:36:45.914,-574.0
19:36:45.954,-411.0
19:36:45.994,-393.0
19:36:46.034,-455.0
19:36:46.074,-906.0
19:36:46.114,417.0
19:36:46.154,-40.0
19:36:46.194,-320.0
19:36:46.234,-343.0
19:36:46.274,-100.0
19:36:46.314,156.0
19:36:46.354,56.0
19:36:46.394,-116.0
19:36:46.434,-211.0
19:36:46.474,-207.0
